text,label,label_name,label_cn
今天的月亮好圆好亮，心情也跟着好起来，真是百感交集。,1,joy,快乐
此刻，下雪了，想起了那年冬天的分别，不得不说出来。,0,sadness,悲伤
静下心来，这件事让我目瞪口呆，好久才缓过神来。,5,surprise,惊讶
今天的小确幸好多，感谢生活，心里七上八下的。,1,joy,快乐
忍不住，今天过生日，收到了好多祝福。,1,joy,快乐
和朋友一起打游戏赢了，太爽了，不得不说出来。,1,joy,快乐
极度恐慌，连说话都变得结结巴巴，心里七上八下的。,4,fear,恐惧
前几天，今天的早餐特别好吃，元气满满。,1,joy,快乐
一个人坐电梯突然停了，窒息的体会到。,4,fear,恐惧
清晨，半夜听到猫叫，以为是鬼。,4,fear,恐惧
今天我特别开心，想把这份快乐分享出去，说出来心里好受多了。,1,joy,快乐
刚才，生命中的这些小幸福，让我感到值得。,1,joy,快乐
今天好多人夸了我，开心到脸红。,1,joy,快乐
上周，被通知要上台表演，腿都软了，希望自己能快点好起来。,4,fear,恐惧
忍不住，每次被你拥抱，所有的委屈都消散了。,2,love,爱
这几天，没想到他竟然是神话中的人物，这种感觉太强烈了。,5,surprise,惊讶
一个人扛久了，真的会崩溃，不得不说出来。,0,sadness,悲伤
昨天，简直让人瞠目结舌，这种事竟然会发生。,5,surprise,惊讶
再次，你是我梦里出现最多的人，久久无法平静。,2,love,爱
又是失眠的一天，脑子里全是乱的，只能默默承受。,0,sadness,悲伤
这种极其恶劣的行为让我气到发抖，心里七上八下的。,3,anger,愤怒
突然，有些告别，连再见都没来得及说，说出来心里好受多了。,0,sadness,悲伤
昨天，气到整个人都在抖，这件事不能这么算了。,3,anger,愤怒
看着窗外时，你在我最需要的时候出现了。,2,love,爱
当时眼睛都瞪圆了，难以置信，但又无能为力。,5,surprise,惊讶
听到这个消息的一刻，我完全呆住了，希望一切都会好起来。,5,surprise,惊讶
曾经以为的永远，原来是有保质期的，只能默默承受。,0,sadness,悲伤
每一次的假装没事，都是一次内耗，也许这就是生活吧。,0,sadness,悲伤
再次，新买的耳机音质超好，耳朵怀孕了，久久无法平静。,1,joy,快乐
那时候，没想到他竟然是宇航员，只能默默承受。,5,surprise,惊讶
这件事超出了我的想象，真是大出所料，希望一切都会好起来。,5,surprise,惊讶
我只想安静地哭一场，然后重新出发，这辈子忘不了这一幕。,0,sadness,悲伤
那天，一个人呆在黑暗里，恐惧像海浪一样涌来。,4,fear,恐惧
最近，给妈妈买了礼物，她笑得像个孩子。,1,joy,快乐
那种恐惧感是无法用语言描述的，感觉需要好好消化一下。,4,fear,恐惧
今天吃到的甜品简直是人间美味。,1,joy,快乐
清晨，雨天一个人等公交，突然就红了眼眶。,0,sadness,悲伤
这几天，被人删好友了还被拉黑，什么态度。,3,anger,愤怒
一个人呆在黑暗里，恐惧像海浪一样涌来，心里七上八下的。,4,fear,恐惧
看着窗外时，那个地方让我打从心底感到害怕。,4,fear,恐惧
和最好的朋友十年了，感情还是那么好，想找个人说说话。,2,love,爱
那一瞬间，没想到他竟然还记得我的生日，不知道这种感觉什么时候会过去。,5,surprise,惊讶
这种不平等的对待让我无比愤怒，不知道这算不算正常。,3,anger,愤怒
你让我相信，世界上真的有那种特别的爱，不知道这种感觉什么时候会过去。,2,love,爱
这简直刷新了我的认知，真是大开眼界！,5,surprise,惊讶
午后，有些告别，连再见都没来得及说，只能默默承受。,0,sadness,悲伤
这种事会发生，真的让人惊呼不可思议，大概就是这个感受。,5,surprise,惊讶
这几天，喜欢今天，喜欢现在这种状态。,1,joy,快乐
最近，有些遗憾，一辈子都弥补不了。,0,sadness,悲伤
再次，你让我明白，爱一个人原来可以这么温柔。,2,love,爱
清晨，看到有人跟踪我，心跳加速，想找个人说说话。,4,fear,恐惧
那时候，走在路上突然有风筝掉到我面前。,4,fear,恐惧
实在难过的时候连倾诉的对象都没有。,0,sadness,悲伤
被分手了，整个人都空了，感觉整个人都不好了。,0,sadness,悲伤
静下心来，被同事认可了，感觉自己的价值被看到了，就是这样，没什么。,1,joy,快乐
和你在一起的每一天，都是我确实珍视的礼物。,2,love,爱
简直第一次看到大海，比想象中还要美。,1,joy,快乐
清晨，有你在，再难的事我都愿意去尝试。,2,love,爱
清晨，你在我难过的时候陪我一起哭，但又无能为力。,2,love,爱
真的被人欺负了还被说活该，太可恶了。,3,anger,愤怒
深夜，身边都是喜欢的人，什么都不用担心，这种感觉太强烈了。,1,joy,快乐
太今天什么都顺心，就连堵车都不烦躁。,1,joy,快乐
今天我特别开心，想把这份欣喜分享出去。,1,joy,快乐
太出人意料了，这完全超越了我的认知，真是百感交集。,5,surprise,惊讶
不知道为什么，这种感觉就是：啊！天啊！不可思议！,5,surprise,惊讶
今天，夜深人静，才敢让自己放声哭泣。,0,sadness,悲伤
上周，那种强烈的恐惧感像电流一样穿遍全身，久久无法平静。,4,fear,恐惧
这件事发生的时候，我整个人都愣住了，不得不说出来。,5,surprise,惊讶
再次，老朋友突然来访，开心得不行。,1,joy,快乐
回想起来，走在路上突然有人从高处掉东西下来，希望自己能快点好起来。,4,fear,恐惧
今天好多人夸了我，开心到脸红，希望自己能快点好起来。,1,joy,快乐
这件事彻底打破了我以为的那个世界，感觉整个人都不好了。,5,surprise,惊讶
想了很久之后，爱你，不需要理由，就是这么简单，希望一切都会好起来。,2,love,爱
方才，最近老是感觉要有什么不好的事发生，感觉整个人都不好了。,4,fear,恐惧
鼓起勇气，当时的感受只有两个字：震惊。,5,surprise,惊讶
前几天，生活虽然平淡，但这种满足感真的很好，希望一切都会好起来。,1,joy,快乐
此刻，被人恶意针对，我要反击，说出来心里好受多了。,3,anger,愤怒
最近，这种事会发生，真的让人惊呼不可思议，希望自己能快点好起来。,5,surprise,惊讶
午后，新家装修好了，比想象中还好看。,1,joy,快乐
你的存在，让我觉得无比珍贵。,2,love,爱
上周，爸妈偏心弟弟，我受够了，久久无法平静。,3,anger,愤怒
傍晚，今天被领导表扬了，走路都带风，这种感觉太强烈了。,1,joy,快乐
奶奶拉着我的手说要好好照顾自己，不知道这算不算正常。,2,love,爱
室友给我真的带了早餐，心里暖暖的。,2,love,爱
那一瞬间，面对这种情况，我不知道该怎么办，很害怕。,4,fear,恐惧
突然被邀请去白宫，感觉整个人都不好了。,5,surprise,惊讶
前几天，我以为自己已经见过世面，没想到还是被惊到了。,5,surprise,惊讶
夜里，健身一个月，体重终于降了，希望自己能快点好起来。,1,joy,快乐
心底最软的地方，已经被伤得千疮百孔。,0,sadness,悲伤
我完全没有想到结果会是这样。,5,surprise,惊讶
排了两小时的队结果被告知没号了。,3,anger,愤怒
那件事之后，我变得特别敏感，总觉得有危险。,4,fear,恐惧
想到你对我说的那些话，心中甜甜的。,2,love,爱
闺蜜在我最难的时候一直陪着我，不知道这种感觉什么时候会过去。,2,love,爱
说实话，这一次我不打算再沉默了。,3,anger,愤怒
那一瞬间，心情低落到极点，什么都提不起劲，感觉整个人都不好了。,0,sadness,悲伤
哈哈，今天也是欣喜的一天。,1,joy,快乐
前几天，我已经习惯了一个人扛，但真的很累，不得不说出来。,0,sadness,悲伤
这个发展完全出乎我的意料，太令人惊叹，感觉需要好好消化一下。,5,surprise,惊讶
你笑了，我的心也跟着暖了。,2,love,爱
想了很久之后，这件事让我意识到，有些失去是永远的。,0,sadness,悲伤
欢乐的时光总是过得太快，但留下的美满很真实。,1,joy,快乐
妈妈做的饭最好吃，幸福感爆棚。,1,joy,快乐
真的好走在路上突然有车冲过来，吓得愣住了。,4,fear,恐惧
夜里，跑完了人生第一个十公里，太自豪了，不吐不快。,1,joy,快乐
被人无故辞退，我要申请劳动仲裁，心里七上八下的。,3,anger,愤怒
午后，这种莫名的恐惧感让我整个人都绷紧了，感觉需要好好消化一下。,4,fear,恐惧
家人团聚的时刻，是我最珍惜的，说出来心里好受多了。,2,love,爱
上周，每次想起你说爱我的那个瞬间，都觉得好幸福。,2,love,爱
我要求一个说法，这件事不能就这么算了，感觉需要好好消化一下。,3,anger,愤怒
刚才，今天学会了新技能，有点小骄傲，希望一切都会好起来。,1,joy,快乐
最近，新买的耳机音质超好，耳朵怀孕了。,1,joy,快乐
一个人走了好久好久的路！,0,sadness,悲伤
感觉自己一直在原地踏步，好沮丧，希望自己能快点好起来。,0,sadness,悲伤
那一瞬间，真的假的？这件事让我太震惊了。,5,surprise,惊讶
简直加班没有加班费，凭什么。,3,anger,愤怒
再次，天哪！这简直令人难以置信！,5,surprise,惊讶
昨天，被忽视、被无视，这是对我最大的侮辱。,3,anger,愤怒
夜里，爱你，是因为你让我成了更好的自己，这辈子忘不了这一幕。,2,love,爱
前几天，当时感觉脑子嗡的一声，太震撼了。,5,surprise,惊讶
今天，和喜欢的人一起看了电影，好幸福。,1,joy,快乐
无人问津的日子里，只有影子陪我！,0,sadness,悲伤
鼓起勇气，终于把论文写完了，如释重负。,1,joy,快乐
看着窗外时，老朋友突然来访，开心得不行。,1,joy,快乐
深夜，发现自己的博客突然火了。,5,surprise,惊讶
终于学会做饭了，虽然味道一般但很有成就感，也许这就是生活吧。,1,joy,快乐
回想起来，生活对我真好，感恩今天的每一刻。,1,joy,快乐
此刻，今天被领导表扬了，走路都带风，真是百感交集。,1,joy,快乐
被人忽视了，凭什么不把我当回事，真是百感交集。,3,anger,愤怒
突然，今天的遭遇让我气得说不出话来。,3,anger,愤怒
半夜听到婴儿哭声，但是隔壁没人住。,4,fear,恐惧
没想到他竟然是富二代，想找个人说说话。,5,surprise,惊讶
不知道为什么，和闺蜜逛街买到了心水的衣服。,1,joy,快乐
想了很久之后，这种自私的行为让我非常愤怒。,3,anger,愤怒
一觉睡到自然醒，感觉整个人都活过来了，真是百感交集。,1,joy,快乐
一想到那种情景，就浑身发抖。,4,fear,恐惧
感觉有什么不好的事情要发生，我很不安，久久无法平静。,4,fear,恐惧
清晨，凌晨三点醒来，发现自己又是一个人。,0,sadness,悲伤
真是太让人失望了，我对他彻底绝望。,3,anger,愤怒
所有人都在欢声笑语，只有我格格不入。,0,sadness,悲伤
傍晚，明明说好的事，却背着我做了相反的事，说出来心里好受多了。,3,anger,愤怒
你在我耳边说的我会永远守护你，我幸福了，希望自己能快点好起来。,2,love,爱
这个人竟然会做出这种事，让我大为惊讶，不得不说出来。,5,surprise,惊讶
这种双重标准让我气愤不已。,3,anger,愤怒
真的好今天的工作特别有成就感。,1,joy,快乐
前几天，努力终于看到了成果，心情超好，感觉需要好好消化一下。,1,joy,快乐
你为我改变了很多，我都看在眼里，久久无法平静。,2,love,爱
被同事抢了功劳，领导还表扬他。,3,anger,愤怒
那天，这件事让我重新审视了一切，太惊讶了，不吐不快。,5,surprise,惊讶
感觉身后有什么东西在追，不敢回头，感觉需要好好消化一下。,4,fear,恐惧
那一刻，我觉得心脏几乎要停止跳动。,4,fear,恐惧
下班路上，路边的花开了，春天真的来了，不得不说出来。,1,joy,快乐
回想起来，被现实打败了，不想再挣扎了。,0,sadness,悲伤
被人恶意刁难，我真是要投诉到底。,3,anger,愤怒
终于把欠的债还清了，无债一身轻。,1,joy,快乐
静下心来，坐飞机颠簸的时候，手心全是汗。,4,fear,恐惧
看到久违的朋友，心里暖暖的，大概就是这个感受。,1,joy,快乐
这件事真的让我真的怒不可遏，太过分了。,3,anger,愤怒
那一瞬间，听到隔壁吵架摔东西的声音，好害怕，不知道这算不算正常。,4,fear,恐惧
最近，终于等到你了，还好我没放弃，不得不说出来。,1,joy,快乐
和朋友一起打游戏赢了，太爽了。,1,joy,快乐
你是我心里那道彩虹，雨后才能看见，大概就是这个感受。,2,love,爱
极度恐惧的时候，甚至希望自己什么都感觉不到。,4,fear,恐惧
清晨，被人恶意威胁，我要报警处理。,3,anger,愤怒
这几天，一次次被欺骗，我真的忍无可忍了。,3,anger,愤怒
感觉身后有什么东西在追，不敢回头，真是百感交集。,4,fear,恐惧
这口气怎么也咽不下去！,3,anger,愤怒
今天，发现自己的照片被杂志用了。,5,surprise,惊讶
不是不想说，是说了也没用，好希望有人能理解我。,0,sadness,悲伤
每天睁开眼，第一个念头就是——又是孤独的一天。,0,sadness,悲伤
静下心来，被通知要面对一个很难的挑战。,4,fear,恐惧
这几天，你是我心里的定海神针。,2,love,爱
真好，今天每一件事都让我简直开心。,1,joy,快乐
忍不住，感觉自己像一片落叶，不知道会飘向何处，也许这就是生活吧。,0,sadness,悲伤
回想起来，每次想到这件事就气得发抖，感觉整个人都不好了。,3,anger,愤怒
突然，被人欺骗了感情，太可恨了，这种感觉太强烈了。,3,anger,愤怒
被通知要上台表演，腿都软了。,4,fear,恐惧
今天做了一件正确的事，内心平静而开心。,1,joy,快乐
静下心来，你为我做的那些事情我永远不会忘记。,2,love,爱
真是今天的早餐特别好吃，元气满满。,1,joy,快乐
被人恶意诽谤，我要起诉，没想到会这样。,3,anger,愤怒
不得不说，你为我做的小事，我都看在眼里记在心里。,2,love,爱
这个消息来得太突然，我完全没有心理准备，没想到会这样。,5,surprise,惊讶
你总是把最好的留给我，不得不说出来。,2,love,爱
终于放假了，整个人都飞起来了，感觉需要好好消化一下。,1,joy,快乐
这种行为严重伤害了我，我不会原谅的，好希望有人能理解我。,3,anger,愤怒
你让我相信世间有真情。,2,love,爱
下班路上，健身一个月，体重终于降了，没想到会这样。,1,joy,快乐
胆战心惊失去所有，这种恐惧让我无法入睡。,4,fear,恐惧
突然，被通知要参加比赛，紧张到失眠，这种感觉太强烈了。,4,fear,恐惧
清晨，走在路上突然有人从背后拍我，吓死了。,4,fear,恐惧
突然觉得活着真好，今天特别开心，久久无法平静。,1,joy,快乐
回过神来，极度的恐惧让我无法集中精神。,4,fear,恐惧
刚才，没想到她竟然是画家，不吐不快。,5,surprise,惊讶
发现自己的存在有了意义，好希望有人能理解我。,5,surprise,惊讶
想起这件事，我的拳头都握紧了，希望自己能快点好起来。,3,anger,愤怒
深夜，室友给我带了早餐，心里暖暖的。,2,love,爱
想了很久之后，半夜听到有东西在挠门的声音，感觉整个人都不好了。,4,fear,恐惧
突然，身体开始颤抖，我知道那是恐惧在作怪，这种感觉太强烈了。,4,fear,恐惧
静下心来，没想到她竟然是探险家。,5,surprise,惊讶
听到那个消息，我的第一反应就是恐惧。,4,fear,恐惧
欢乐的时光总是过得太快，但留下的幸福很真实，也许这就是生活吧。,1,joy,快乐
每次鼓起勇气，换来的都是灰心。,0,sadness,悲伤
说实话，努力终于看到了成果，心情超好。,1,joy,快乐
这一次，真的伤透了心，只能默默承受。,0,sadness,悲伤
不知道为什么，这件事太令人愤慨了，不吐不快。,3,anger,愤怒
这件事让我意识到，有些失去是永远的，没想到会这样。,0,sadness,悲伤
一大早，你笑起来的样子，真的好好看。,2,love,爱
这几天，和爸妈视频，笑着聊了好久。,1,joy,快乐
忍不住，手机被人偷了，气得发抖，感觉整个人都不好了。,3,anger,愤怒
即使心中难受，我也学会了独自消化。,0,sadness,悲伤
不经意间，看到那一幕，我整个人都石化了。,5,surprise,惊讶
回想起来，身体开始颤抖，我知道那是恐惧在作怪。,4,fear,恐惧
这种快乐无法言表，就是由内而外地高兴，但又无能为力。,1,joy,快乐
被狗追着跑，吓得魂飞魄散！,4,fear,恐惧
那时候，我的努力没有白费，感觉超棒。,1,joy,快乐
看着窗外时，朋友圈里大家都在开心，只有我一个人难过。,0,sadness,悲伤
被通知要见家长，紧张到不行，不知道这算不算正常。,4,fear,恐惧
昨天，发现楼下开了家超好吃的店。,5,surprise,惊讶
下暴雨打雷闪电，缩在被窝里不敢出来，但又无能为力。,4,fear,恐惧
想了很久之后，被表白了，心跳得好快，大概就是这个感受。,1,joy,快乐
那句话像刀一样刺进了我确实心里。,0,sadness,悲伤
鼓起勇气，你笑了，我的心也跟着暖了。,2,love,爱
最近，朋友圈好多人点赞，开心。,1,joy,快乐
不经意间，你说想和我一起创造美好的回忆，不知道这算不算正常。,2,love,爱
发现自己的人生翻开了新篇章，心里七上八下的。,5,surprise,惊讶
突然，被服务员态度恶劣地对待，什么玩意儿，感觉整个人都不好了。,3,anger,愤怒
不得不说，被人泄露了隐私，太过分了。,3,anger,愤怒
那种无力感和恐惧混在一起，让我崩溃。,4,fear,恐惧
久违的同学聚会，聊了好多开心的事！,1,joy,快乐
害怕袭来的时候，整个人都失去了冷静。,4,fear,恐惧
这几天，被人坑了还被倒打一耙，气死了，心里七上八下的。,3,anger,愤怒
这种愉悦感让我忘记了所有烦恼，这辈子忘不了这一幕。,1,joy,快乐
这种结果太出人意料了，我目瞪口呆，不知道这种感觉什么时候会过去。,5,surprise,惊讶
越是黑暗安静的地方，恐惧感就越强。,4,fear,恐惧
方才，越想越害怕，感觉末日将至一样。,4,fear,恐惧
不经意间，笑容背后藏着多少心酸，只有自己知道。,0,sadness,悲伤
你让我真的好明白，爱一个人原来可以这么温柔。,2,love,爱
被人无故冷落，我真的很受伤。,3,anger,愤怒
那一瞬间，只是想到你，心就柔软了下来。,2,love,爱
回想起来，爱你是一种习惯，每天都想见到你，好希望有人能理解我。,2,love,爱
原来离开是这么简单的事。,0,sadness,悲伤
被同事认可了，感觉自己的价值被看到了，这辈子忘不了这一幕。,1,joy,快乐
这种不公正的对待激起了我内心所有的怒火，不吐不快。,3,anger,愤怒
家人团聚的时刻，是我最珍惜的，不知道这算不算正常。,2,love,爱
真是极度恐惧的时候，甚至希望自己什么都感觉不到。,4,fear,恐惧
清晨，原来有些人真的只能陪你走一段路。,0,sadness,悲伤
鼓起勇气，我完全没有想到会发生这种事，太出乎意料了。,5,surprise,惊讶
越想越害怕，感觉末日将至一样，不得不说出来。,4,fear,恐惧
回过神来，分离的那一幕在脑海中反复播放，心里七上八下的。,0,sadness,悲伤
前几天，你每次看到好看的风景都会拍给我，不知道这算不算正常。,2,love,爱
久违的轻松感，真的太舒服了。,1,joy,快乐
傍晚，再也回不到从前的日子，真的好难过，好希望有人能理解我。,0,sadness,悲伤
看到有人吵架动手，怕波及到自己，只能默默承受。,4,fear,恐惧
下班路上，半夜听到有风把门吹得砰砰响。,4,fear,恐惧
突然被邀请参加一个超棒的活动。,5,surprise,惊讶
你是我心目中最完美的存在，也许这就是生活吧。,2,love,爱
鼓起勇气，今天的一切都完美无缺，感谢生活，心里七上八下的。,1,joy,快乐
朋友圈里大家都在开心，只有我一个人难过，希望自己能快点好起来。,0,sadness,悲伤
这种莫名的恐惧感让我整个人都绷紧了。,4,fear,恐惧
那一瞬间，看着旧照片，才意识到已经物是人非。,0,sadness,悲伤
这个消息真的把我惊呆了，半天没回过神来，心里七上八下的。,5,surprise,惊讶
这几天，没想到她竟然是冠军，不知道这算不算正常。,5,surprise,惊讶
昨天，被人造黄谣，气到想报警，久久无法平静。,3,anger,愤怒
最近，那些美好的日子像梦一样，一去不复返。,0,sadness,悲伤
你为我太做的那些事情我永远不会忘记。,2,love,爱
前几天，没想到这个项目竟然通过了。,5,surprise,惊讶
你为我简直学做的那道菜，味道我一辈子都记得。,2,love,爱
夜里，在那一刻，我感到了从未有过的巨大恐惧，说出来心里好受多了。,4,fear,恐惧
傍晚，明明知道这样做是错的，还要这样做。,3,anger,愤怒
午后，每次笑完之后，那种孤寂感更重了，说出来心里好受多了。,0,sadness,悲伤
你为我学了一首歌，唱给我听的时候我哭了，没想到会这样。,2,love,爱
坐过山车的时候，感觉自己要死了，只能默默承受。,4,fear,恐惧
你不在身边的时候，每分每秒都在想你，只能默默承受。,2,love,爱
每次被你拥抱，所有的委屈都消散了，没想到会这样。,2,love,爱
第一次尝试潜水，看到了美丽的海底世界，就是这样，没什么。,1,joy,快乐
这几天，半夜听到有风声呼呼作响，不得不说出来。,4,fear,恐惧
半夜听到警笛声，不知道发生了什么。,4,fear,恐惧
方才，每次收到你的消息，心里都暖暖的。,2,love,爱
最怕失去，失去的惊恐压得我喘不过气。,4,fear,恐惧
夜里，这件事让我意识到，有些失去是永远的，这种感觉太强烈了。,0,sadness,悲伤
此刻，泪水流尽了，却还是感觉不到任何轻松，真的不知道该怎么办。,0,sadness,悲伤
这种做法毫无道德可言，太令人愤恨，感觉需要好好消化一下。,3,anger,愤怒
不得不说，被人背后捅刀子，太寒心了。,3,anger,愤怒
我想保护你，不让这个世界伤害你。,2,love,爱
突然，今天所有的不开心都被快乐抵消了，不吐不快。,1,joy,快乐
半夜听到有东西在窗户上爬的声音，感觉需要好好消化一下。,4,fear,恐惧
突然被通知可以加薪，好希望有人能理解我。,5,surprise,惊讶
你记得我实在们第一次见面的场景。,2,love,爱
午后，你总是把最好的留给我。,2,love,爱
忍不住，我想把每一个美好的瞬间都与你分享。,2,love,爱
这已经超出了我真的的容忍范围。,3,anger,愤怒
那一瞬间，攒了很久的勇气说出口，却被一笑而过，只能默默承受。,0,sadness,悲伤
工作压力大到晚上偷偷哭，说出来心里好受多了。,0,sadness,悲伤
傍晚，这种恶意的行为，让我愤怒到颤抖。,3,anger,愤怒
不经意间，那个噩梦太真实了，醒来还一直在发抖，这辈子忘不了这一幕。,4,fear,恐惧
一个人走夜路，脚步不自觉地加快，心里怕极了，感觉需要好好消化一下。,4,fear,恐惧
最近，被陌生人善意对待，心里暖暖的。,1,joy,快乐
太诧异了，感觉整个世界都在颠覆。,5,surprise,惊讶
发现自己的发明被报道了，只能默默承受。,5,surprise,惊讶
最怕的不是危险本身，而是不知道危险来自哪里，只能默默承受。,4,fear,恐惧
一大早，被人传闲话，真的很烦很气。,3,anger,愤怒
不得不说，忍了这么久，今天终于说出口了。,3,anger,愤怒
你记得我喜欢吃什么，每次都会给我带，久久无法平静。,2,love,爱
不得不说，失眠的夜里，思绪总是飘向那些遗憾。,0,sadness,悲伤
被人恶意投诉，太过分了，真是百感交集。,3,anger,愤怒
那一瞬间，今天的月亮好圆好亮，心情也跟着好起来。,1,joy,快乐
下班路上，小侄子画了一幅画送给我，太可爱了。,1,joy,快乐
前几天，你是我在喧嚣世界里，最平静的港湾。,2,love,爱
傍晚，这个惊喜来得太突然，我不知道怎么表达。,5,surprise,惊讶
你在我心里，占了最大的一块位置。,2,love,爱
给妈妈买了礼物，她笑得像个孩子！,1,joy,快乐
一大早，无意间发现了一首超好听的歌。,1,joy,快乐
不得不说，我以为时间能治愈一切，原来伤口还在。,0,sadness,悲伤
回想起来，发现自己的产品被抢购了，心里七上八下的。,5,surprise,惊讶
深夜，打开红包发现金额比想象中大，这辈子忘不了这一幕。,5,surprise,惊讶
想了很久之后，你每次出差都会给我带小礼物，真的不知道该怎么办。,2,love,爱
不经意间，和朋友一起唱K，唱到嗓子哑了还意犹未尽，希望一切都会好起来。,1,joy,快乐
不知道为什么，越是黑暗安静的地方，恐惧感就越强。,4,fear,恐惧
和你在一起，就算什么都不做也觉得美满。,2,love,爱
简直走在黑暗的小巷子里，脚步越来越快。,4,fear,恐惧
太今天整个人都散发着快乐的光芒。,1,joy,快乐
这几天，被这样对待，我心里的怒火熊熊燃烧。,3,anger,愤怒
被背刺的感觉，愤怒混着失望，难以言表！,3,anger,愤怒
回过神来，今天是个快乐的日子，要好好庆祝。,1,joy,快乐
你的一个微笑，就让我的整个世界明亮起来，感觉整个人都不好了。,2,love,爱
这件事触碰了我的底线，我无法忍受。,3,anger,愤怒
那天，每次鼓起勇气，换来的都是失望，这种感觉太强烈了。,0,sadness,悲伤
没想到她竟然会弹钢琴，就是这样，没什么。,5,surprise,惊讶
想哭的时候就抬头看看天，说出来心里好受多了。,0,sadness,悲伤
清晨，突然被通知可以实现所有愿望。,5,surprise,惊讶
看着窗外时，你记得我们在一起的每一天。,2,love,爱
那天，生活需要这种纯粹的快乐，没想到会这样。,1,joy,快乐
不知道为什么，凭什么要这样对我？！我受够了，希望自己能快点好起来。,3,anger,愤怒
害怕像藤蔓一样，把我的心牢牢缠住。,4,fear,恐惧
回过神来，花枯了，就像我此刻的心情。,0,sadness,悲伤
真的好那种强烈的恐惧感像电流一样穿遍全身。,4,fear,恐惧
考了第一名，开心到飞起。,1,joy,快乐
不得不说，今天效率超高，提前完成了所有任务。,1,joy,快乐
坐缆车的时候恐高，不敢往下看，真是百感交集。,4,fear,恐惧
每次看见你，心里就涌出一股暖意，不知道这种感觉什么时候会过去。,2,love,爱
突然，突然被邀请去见证历史，说出来心里好受多了。,5,surprise,惊讶
刚才，下暴雨打雷闪电，缩在被窝里不敢出来，心里七上八下的。,4,fear,恐惧
这件事的确颠覆了我的三观。,5,surprise,惊讶
上周，被人嘲笑长相，气到想打人。,3,anger,愤怒
简直被朋友拉去跳舞，意外发现自己跳得还不错。,1,joy,快乐
不经意间，你在我生日那天为我唱了生日歌，心里七上八下的。,2,love,爱
今天，和家人一起包饺子，笑声不断。,1,joy,快乐
终于搬进了新家，一切都是新的开始，不得不说出来。,1,joy,快乐
下班路上，发现自己的故事被传颂千古，感觉需要好好消化一下。,5,surprise,惊讶
一大早，我完全没有想到结果会是这样，不得不说出来。,5,surprise,惊讶
失恋的时候，朋友一直陪在我身边。,2,love,爱
方才，你为我做的那些牺牲我都看在眼里。,2,love,爱
半夜听到有脚步声在靠近，说出来心里好受多了。,4,fear,恐惧
明明已经很努力了，为什么还是这样。,0,sadness,悲伤
真的假的？这件事让我太震惊了，就是这样，没什么。,5,surprise,惊讶
回想起来，这样的行为应该受到应有的惩罚，没想到会这样。,3,anger,愤怒
你的眼神让我觉得，我是这世界上最幸运的人，希望自己能快点好起来。,2,love,爱
